"ChassisID","BoltPattern","Hubbore","HubboreRear","MaxWheelLoad","Nutorbolt","NutBoltThreadType","NutBoltHex","BoltLength","Minboltlength","Maxboltlength","NutBoltTorque","AxleWeightFront","AxleWeightRear","TPMS"
"4822","4x100","57.1","","880","bolt","M12x1.5","17","25.00","24","27","81","","",""
"4823","4x100","57.1","","825","bolt","M12x1.5","17","25.00","24","27","81","","",""
"4824","4x100","57.1","","880","bolt","M12x1.5","17","25.00","24","27","81","","",""
"4831","4x108","63.9","","1320","nut","1/2 UNF","19","","","","85 to 105","","",""
"4832","4x108","63.9","","1133","nut","1/2 UNF","19","","","","74","","",""
"4833","4x108","63.4","","1404","nut","1/2 UNF","19","","","","100","","",""
"4834","5x114.3","70.6","","1181","nut","1/2 UNF","19","","","","85","","",""
"4835","4x108","63.9","","1181","nut","1/2 UNF","19","","","","81","","",""
"4836","5x114.3","70.6","","1353","nut","1/2 UNF","19","","","","85","","",""
"4837","5x139.7","87.1","","2310","nut","1/2 UNF","19","","","","100","","",""
"4839","5x114.3","70.6","","1181","nut","1/2 UNF","19","","","","85","","",""
"4841","5x114.3","70.6","","1181","nut","1/2 UNF","19","","","","85","","",""
"4842","4x108","63.4","","1181","nut","1/2 UNF","19","","","","81","","",""
"4843","8x165.1","117","","2310","nut","1/2 UNF","22","","","","120","","",""
"4844","5x120.65","70.3","0.00","1320","nut","M12x1.5","19","","0","0","74","0","0",""
"4845","5x127","78","","1448","nut","1/2 UNF","19","","","","74","","",""
"4846","8x165.1","117","","2310","nut","9/16 UNF","22","","","","120","","",""
"4847","6x139.7","78","","1448","nut","7/16 UNF","19","","","","100","","",""
"4854","5x114.3","66.1","","1287","nut","M12x1.25","21","","","","97","","","on"
"4869","5x120","72.6","0.00","1441","bolt","M14x1.25","17","28.00","27","30","103","0","0","on"
"4870","6x139.7","78.1","0.00","1839","nut","M14x1.5","22","","0","0","140","1633","1672","on"
"4873","5x112","57.1","0.00","1133","bolt","M14x1.5","17","28.00","27","30","103","0","0","on"
"4874","5x112","57.1","","1133","bolt","M14x1.5","17","28.00","27","30","103","","","on"
"4875","6x120","67.1","","1848","nut","M12x1.5","19","","","","110","","","on"
"4877","5x100","57.1","","1353","nut","M12x1.5","19","","","","85 to 115","","",""
"4880","4x100","54.1","0.00","1045","nut","M12x1.5","21","","0","0","80","0","0","on"
"4889","4x98","58.1","0.00","781","bolt","M12x1.25","19","26.00","25","28","74","0","0",""
"4892","5x114.3","66.1","","1287","nut","M12x1.25","21","","","","83","","","on"
"4893","5x114.3","66.1","","1287","nut","M12x1.25","21","","","","83","","","on"
"4894","5x100","57.1","","1514","nut","M12x1.5","19","","","","100","","",""
"4896","8x165.1","124.9","0.00","2310","nut","1/2 UNF","22","","0","0","140","0","0",""
"4898","8x165.1","123.9","0.00","2640","nut","1/2 UNF","22","","0","0","105","0","0",""
"4899","6x139.7","77.8","","2035","nut","7/16 UNF","19","","","","103","","",""
"4901","5x105","56.6","0.00","850","nut","M12x1.5","19","","0","0","100","0","0","on"
"4902","5x112","63.4","0.00","1353","nut","M12x1.5","19","","0","0","74","0","0",""
"4903","4x114.3","66.1","0.00","1045","nut","M12x1.25","19","","0","0","70","0","0",""
"4905","5x100","57.1","","1199","nut","M12x1.5","19","","","","100","","",""
"4907","4x108","65.1","","1100","bolt","M14x1.5","17","28.00","27","30","80 to 90","","",""
"4918","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","115","","",""
"4919","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","115","","",""
"4920","5x139.7","77.8","","2035","nut","1/2 UNF","19","","","","105","","",""
"4921","5x139.7","77.8","","1870","nut","1/2 UNF","19","","","","105","","",""
"4922","8x165.1","117","","2310","nut","1/2 UNF","19","","","","100","","",""
"4923","4x114.3","67.1","","1287","nut","M12x1.5","21","","","","115","","",""
"4924","5x130","84.1","","2134","bolt","M14x1.5","19","35.00","34","37","160","","",""
"4925","5x139.7","108","","1100","nut","1/2 UNF","19","","","","80","","",""
"4927","4x114.3","67.1","","1155","nut","M12x1.5","21","","","","80","","",""
"4928","6x139.7","108","","1870","nut","M12x1.5","19","","","","87 to 101","","",""
"4929","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","115","","",""
"4930","5x114.3","71.8","","1639","nut","1/2 UNF","19","","","","105","","",""
"4932","4x100","56.1","","1012","nut","M12x1.5","19","","","","80","","",""
"4933","5x114.3","71.5","0.00","1870","nut","1/2 UNF","19","","0","0","105","0","0",""
"4935","5x127","71.5","0.00","1844","nut","M14x1.5","22","","0","0","130","0","0","on"
"4936","5x130","71.5","","1331","bolt","M14x1.5","17","35.00","34","37","95","990","1210","on"
"4937","4x100","56.1","0.00","858","nut","M12x1.5","19","","0","0","80","0","0",""
"4938","4x100","56.6","","1232","nut","M12x1.5","19","","","","76","","",""
"4941","5x139.7","108","","1650","nut","1/2 UNF","19","","","","80","","",""
"4942","8x165.1","108","","2090","nut","1/2 UNF","19","","","","80","","",""
"4944","4x101.6","69.1","","1287","nut","7/16 UNF","19","","","","70","","",""
"4945","4x101.6","69.1","","1111","nut","7/16 UNF","19","","","","76","","",""
"4946","5x120.65","70.3","","1320","nut","7/16 UNF","19","","","","70","","",""
"4949","8x165.1","117","0.00","3036","nut","M14x1.5","22","","0","0","140","2000","2760","on"
"4950","4x114.3","67.1","","950","nut","7/16 UNF","19","","","","70","","",""
"4951","4x95.25","57.1","","990","nut","M12x1.5","19","","","","75","","",""
"4952","4x95.25","57.1","","990","nut","M12x1.5","19","","","","75","","",""
"4954","4x95.25","57.1","","770","nut","3/8 UNF","19","","","","60","","",""
"4959","8x165.1","124.9","","2310","nut","9/16 UNF","22","","","","140","","",""
"4960","5x114.3","70.6","","1353","nut","1/2 UNF","19","","","","85","","",""
"4962","7x150","87.1","0.00","1650","nut","M14x2.0","22","","0","0","150","0","0",""
"4965","5x114.3","70.6","","1353","nut","1/2 UNF","19","","","","85","","",""
"4967","5x127","78","","1870","nut","1/2 UNF","19","","","","90","","",""
"4968","5x120.65","70.3","","1870","nut","M12x1.5","19","","","","100","","",""
"4969","4x100","57.1","","836","bolt","M12x1.5","17","25.00","24","27","81","","",""
"4970","5x108","65.1","","1298","nut","1/2 UNF","19","","","","74","","",""
"4971","4x100","57.1","","825","bolt","M12x1.5","17","25.00","24","27","81","","",""
"4972","4x114.3","60.1","0.00","825","nut","M12x1.5","21","","0","0","76","0","0",""
"4973","4x114.3","60.1","","1100","nut","M12x1.5","21","","","","74","","",""
"4976","8x165.1","117","","2310","nut","M14x1.5","22","","","","140","","","on"
"4978","5x154.94","117.6","","1778","nut","1/2 UNF RH/LH","19","","","","88","","",""
"4979","5x154.94","117.6","","1778","nut","1/2 UNF RH/LH","19","","","","88","","",""
"4980","5x154.94","117.6","","1778","nut","1/2 UNF RH/LH","19","","","","88","","",""
"4981","5x154.94","117.6","","2090","nut","1/2 UNF RH/LH","19","","","","45 to 50","","",""
"4983","5x114.3","67.1","","1232","nut","M12x1.5","19","","","","100","","","on"
"4984","8x165.1","117","0.00","2090","nut","M14x1.5","22","","0","0","140","0","0","on"
"4985","8x165.1","117","0.00","2046","nut","M14x1.5","22","","0","0","140","0","0","on"
"4986","5x127","77.8","","1320","nut","1/2 UNF","19","","","","75","","",""
"4987","8x165.1","117","","2750","nut","9/16 UNF","22","","","","105","","",""
"5005","4x108","57.1","","1298","bolt","M14x1.5","17","25.00","24","27","81","","",""
"5006","4x108","57.1","","1232","bolt","M14x1.5","17","25.00","24","27","81","","",""
"5007","4x108","57.1","","1232","bolt","M14x1.5","17","25.00","24","27","81","","",""
"5008","4x108","57.1","","1232","bolt","M14x1.5","17","25.00","24","27","81","","",""
"5009","5x120.65","70.3","","1155","nut","7/16 UNF","19","","","","70","","",""
"5010","5x114.3","70.6","","1320","nut","1/2 UNF","19","","","","85","","",""
"5013","5x114.3","69.6","","1287","nut","1/2 UNF","19","","","","75","","",""
"5014","3x150","60.1","","935","nut","M12x1.5","19","","","","66","","",""
"5015","5x114.3","69.6","","1287","nut","1/2 UNF","19","","","","75","","",""
"5016","3x150","60.1","","935","nut","M12x1.5","19","","","","66","","",""
"5017","5x114.3","69.6","","1287","nut","1/2 UNF","19","","","","75","","",""
"5018","4x101.6","69.1","","1287","nut","7/16 UNF","19","","","","70","","",""
"5019","5x120.65","70.3","","1287","nut","1/2 UNF","19","","","","100","","",""
"5020","5x120.65","70.3","","1287","nut","7/16 UNF","19","","","","65","","",""
"5021","5x114.3","69.6","0.00","1287","nut","1/2 UNF","19","","0","0","75","0","0",""
"5022","5x120.65","70.3","","1298","nut","7/16 UNF","19","","","","100","","",""
"5024","5x127","70.3","","1298","nut","1/2 UNF","19","","","","75","","",""
"5025","4x101.6","69.1","","1287","nut","7/16 UNF","19","","","","100","","",""
"5026","4x100","57.1","","1287","nut","M12x1.5","19","","","","75","","",""
"5027","5x127","70.3","0.00","1331","nut","M12x1.5","19","","0","0","100","0","0",""
"5028","4x100","57.1","0.00","836","bolt","M12x1.5","17","25.00","24","27","81","0","0",""
"5029","5x114.3","67.1","","1287","nut","M12x1.5","19","","","","81","","",""
"5030","4x114.3","60.1","","1133","nut","M12x1.5","21","","","","76","","",""
"5031","4x114.3","60.1","","1133","nut","M12x1.5","21","","","","76","","",""
"5032","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","81","","",""
"5033","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","81","","",""
"5034","5x114.3","67.1","","1287","nut","M12x1.5","19","","","","95","","",""
"5035","4x140","94.5","","953","nut","M12x1.25","19","","","","66","","",""
"5036","5x114.3","67.1","","1287","nut","M12x1.5","19","","","","80","","",""
"5039","5x100","57.1","","1217","nut","M12x1.5","19","","","","95","1053","903",""
"5040","5x139.7","77.8","","1870","nut","1/2 UNF","19","","","","105","","",""
"5041","5x127","70.3","0.00","1375","nut","M12x1.5","19","","0","0","100","0","0",""
"5042","4x98","58.1","","847","bolt","M12x1.25","19","28.00","27","30","66","","",""
"5044","4x100","56.1","","858","nut","M12x1.5","19","","","","80","","",""
"5045","5x120.65","73.9","","1470","nut","1/2 UNF","19","","","","81","","",""
"5046","6x139.7","71.5","","1406","nut","7/16 UNF","19","","","","85 to 110","","",""
"5047","5x139.7","108.2","0.00","1406","nut","1/2 UNF","19","","0","0","85 to 110","0","0",""
"5048","4x98","58.1","","935","bolt","M12x1.25","19","30.00","29","33","66","","",""
"5049","4x98","58.1","0.00","1023","bolt","M12x1.25","19","28.00","27","30","66","0","0",""
"5051","5x127","78.1","","1672","nut","1/2 UNF","19","","","","78","","",""
"5052","4x101.6","69.1","","1287","nut","7/16 UNF","19","","","","75","","",""
"5053","5x127","77.8","","1320","nut","1/2 UNF","19","","","","75","","",""
"5054","5x120.65","70.3","","1287","nut","7/16 UNF","19","","","","100","","",""
"5055","5x120.65","70.3","","1287","nut","1/2 UNF","19","","","","75","","",""
"5056","5x120.65","70.3","","1287","nut","1/2 UNF","19","","","","75","","",""
"5057","5x120.65","70.3","","1287","nut","7/16 UNF","19","","","","70","","",""
"5058","5x120.65","70.3","","1287","nut","7/16 UNF","19","","","","70","","",""
"5059","5x127","77.8","","1320","nut","1/2 UNF","19","","","","75","","",""
"5060","5x127","77.8","","1320","nut","1/2 UNF","19","","","","75","","",""
"5061","5x127","77.8","","1320","nut","1/2 UNF","19","","","","75","","",""
"5062","5x120.65","70.3","","1287","nut","1/2 UNF","19","","","","100","","",""
"5063","5x98","58.6","","1443","bolt","M12x1.25","19","28.00","27","30","81","","",""
"5064","4x114.3","67.1","","935","nut","M12x1.5","19","","","","75","","",""
"5065","6x139.7","108","","1540","nut","1/2 UNF","19","","","","75","","",""
"5066","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5067","5x106","58.1","","990","bolt","M12x1.5","17","28.00","27","30","66","","",""
"5068","5x114.3","67.1","","1210","nut","M12x1.5","21","","","","75","","",""
"5069","4x114.3","67.1","","1056","nut","M12x1.5","21","","","","80","","",""
"5070","5x98","58.6","","1443","bolt","M12x1.25","19","28.00","27","30","81","","",""
"5072","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5073","5x101.6","69.1","","1210","nut","7/16 UNF LH/RH","19","","","","70","","",""
"5074","4x110","69.1","","1155","bolt","M12x1.5","19","28.00","27","30","81","","",""
"5075","5x114.3","71.5","","1287","nut","1/2 UNF","19","","","","75","","",""
"5076","4x110","69.1","","1155","bolt","M12x1.5","19","28.00","27","30","81","","",""
"5077","4x110","69.1","","1155","bolt","M12x1.5","19","28.00","27","30","81","","",""
"5078","4x110","69.1","","1155","bolt","M12x1.5","19","28.00","27","30","81","","",""
"5079","5x101.6","69.1","","1210","nut","7/16 UNF LH/RH","19","","","","70","","",""
"5080","5x114.3","70.6","","1353","nut","1/2 UNF","19","","","","85","","",""
"5081","5x101.6","69.1","","1210","nut","7/16 UNF LH/RH","19","","","","70","","",""
